02-16-2026 15:54:08 RAM 9798/62841MB (lfb 156x4MB) SWAP 315/31420MB (cached 5MB) CPU [3%@729,2%@729,21%@729,2%@729,3%@2112,3%@2112,31%@2112,2%@2112,2%@729,5%@729,2%@729,2%@729] GR3D_FREQ 0% cpu@41.875C soc2@37.093C soc0@38.062C tj@41.875C soc1@38.625C VDD_GPU_SOC 2804mW/2804mW VDD_CPU_CV 1201mW/1201mW VIN_SYS_5V0 4032mW/4032mW
02-16-2026 15:54:11 RAM 10019/62841MB (lfb 156x4MB) SWAP 315/31420MB (cached 5MB) CPU [93%@2201,2%@2201,4%@2201,2%@2201,0%@729,2%@729,5%@729,2%@729,7%@729,2%@729,2%@729,2%@729] GR3D_FREQ 0% cpu@42.156C soc2@37.406C soc0@38.156C tj@42.156C soc1@38.656C VDD_GPU_SOC 2404mW/2604mW VDD_CPU_CV 2804mW/2003mW VIN_SYS_5V0 4132mW/4082mW
02-16-2026 15:54:14 RAM 10127/62841MB (lfb 156x4MB) SWAP 315/31420MB (cached 5MB) CPU [96%@729,2%@729,2%@729,3%@729,2%@729,2%@729,2%@729,2%@729,2%@729,2%@729,2%@729,2%@729] GR3D_FREQ 0% cpu@41.75C soc2@37.25C soc0@38.125C tj@41.75C soc1@38.625C VDD_GPU_SOC 2404mW/2537mW VDD_CPU_CV 2403mW/2136mW VIN_SYS_5V0 4132mW/4099mW
02-16-2026 15:54:17 RAM 10290/62841MB (lfb 156x4MB) SWAP 315/31420MB (cached 5MB) CPU [6%@2201,5%@2201,42%@2201,5%@2201,5%@729,4%@729,5%@729,5%@729,4%@729,4%@729,4%@729,5%@729] GR3D_FREQ 0% cpu@42.375C soc2@37.187C soc0@38.093C tj@42.375C soc1@38.625C VDD_GPU_SOC 2404mW/2504mW VDD_CPU_CV 3205mW/2403mW VIN_SYS_5V0 4132mW/4107mW
02-16-2026 15:54:20 RAM 10400/62841MB (lfb 156x4MB) SWAP 315/31420MB (cached 5MB) CPU [1%@2201,0%@2201,100%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@42.281C soc2@37.218C soc0@38C tj@42.062C soc1@38.687C VDD_GPU_SOC 2404mW/2484mW VDD_CPU_CV 2804mW/2483mW VIN_SYS_5V0 4132mW/4112mW
02-16-2026 15:54:23 RAM 10531/62841MB (lfb 156x4MB) SWAP 315/31420MB (cached 5MB) CPU [3%@2201,2%@2201,100%@2201,2%@2201,2%@729,2%@729,3%@729,2%@729,2%@806,2%@806,2%@806,2%@806] GR3D_FREQ 0% cpu@42.187C soc2@37.406C soc0@38.156C tj@42.187C soc1@38.718C VDD_GPU_SOC 2805mW/2538mW VDD_CPU_CV 2403mW/2470mW VIN_SYS_5V0 4435mW/4166mW
02-16-2026 15:54:26 RAM 10641/62841MB (lfb 156x4MB) SWAP 315/31420MB (cached 5MB) CPU [1%@729,0%@729,27%@729,0%@729,0%@729,0%@729,0%@729,20%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@41.75C soc2@37.218C soc0@38.25C tj@41.75C soc1@38.656C VDD_GPU_SOC 2404mW/2518mW VDD_CPU_CV 801mW/2232mW VIN_SYS_5V0 3931mW/4132mW
02-16-2026 15:54:29 RAM 10645/62841MB (lfb 156x4MB) SWAP 315/31420MB (cached 5MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,7%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@41.593C soc2@37.187C soc0@38.25C tj@41.468C soc1@38.656C VDD_GPU_SOC 2403mW/2504mW VDD_CPU_CV 400mW/2003mW VIN_SYS_5V0 3729mW/4082mW
02-16-2026 15:54:32 RAM 10645/62841MB (lfb 156x4MB) SWAP 315/31420MB (cached 5MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@41.468C soc2@37.187C soc0@38.187C tj@41.468C soc1@38.593C VDD_GPU_SOC 2403mW/2493mW VDD_CPU_CV 400mW/1825mW VIN_SYS_5V0 3628mW/4031mW
02-16-2026 15:54:35 RAM 10645/62841MB (lfb 156x4MB) SWAP 315/31420MB (cached 5MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@41.812C soc2@37.156C soc0@38.312C tj@41.812C soc1@38.593C VDD_GPU_SOC 2403mW/2484mW VDD_CPU_CV 400mW/1682mW VIN_SYS_5V0 3628mW/3991mW
02-16-2026 15:54:38 RAM 10646/62841MB (lfb 156x4MB) SWAP 315/31420MB (cached 5MB) CPU [0%@729,1%@729,0%@729,0%@729,0%@729,0%@729,0%@729,1%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@41.718C soc2@37.156C soc0@38.156C tj@41.718C soc1@38.593C VDD_GPU_SOC 2404mW/2477mW VDD_CPU_CV 400mW/1566mW VIN_SYS_5V0 3729mW/3967mW
